event_text,day,time_block,slots_needed,role
9 volunteers needed for Event Setup preparation Monday morning.,Monday,Morning,9,Event Setup
Need 6 volunteers for video - Video Appearance on Thursday morning.,Thursday,Morning,6,Video Appearance
8 volunteers needed for Ushering Thursday morning.,Thursday,Morning,8,Ushering
3 volunteers needed for Photoshoot Appearance shoot Tuesday morning.,Tuesday,Morning,3,Photoshoot Appearance
Required: 8 volunteers for Career Guidance on Saturday morning.,Saturday,Morning,8,Career Guidance
This Monday morning we need 10 volunteers for Video Appearance.,Monday,Morning,10,Video Appearance
Schedule 10 members for Campus Tour this Friday morning.,Friday,Morning,10,Campus Tour
Upcoming Tuesday morning - need 5 volunteers for Photoshoot Appearance.,Tuesday,Morning,5,Photoshoot Appearance
Need 4 volunteers to help with Campus Tour on Monday afternoon.,Monday,Afternoon,4,Campus Tour
Can you assign 8 volunteers for Program Assistance Tuesday morning?,Tuesday,Morning,8,Program Assistance
Wednesday morning - need 7 volunteers for Event Setup.,Wednesday,Morning,7,Event Setup
Requesting 8 members Thursday afternoon for Event Setup.,Thursday,Afternoon,8,Event Setup
For Tuesday afternoon: need 5 volunteers for Program Assistance.,Tuesday,Afternoon,5,Program Assistance
Upcoming Friday morning - need 10 volunteers for Event Setup.,Friday,Morning,10,Event Setup
Event Setup on Thursday morning - need 2 volunteers.,Thursday,Morning,2,Event Setup
Need 8 volunteers for preparation - Event Setup on Friday afternoon.,Friday,Afternoon,8,Event Setup
Looking for 10 volunteers this Wednesday afternoon for Video Appearance.,Wednesday,Afternoon,10,Video Appearance
Seeking 10 volunteers for Video Appearance Thursday morning.,Thursday,Morning,10,Video Appearance
Looking for 9 volunteers this Friday morning for Campus Tour.,Friday,Morning,9,Campus Tour
Monday afternoon Program Assistance - 3 volunteers needed.,Monday,Afternoon,3,Program Assistance
Need 2 members Thursday afternoon for Campus Tour.,Thursday,Afternoon,2,Campus Tour
Get me 10 volunteers for Career Guidance on Thursday afternoon.,Thursday,Afternoon,10,Career Guidance
Need 5 volunteers for preparation - Event Setup on Monday morning.,Monday,Morning,5,Event Setup
5 volunteers please for Program Assistance this Thursday morning.,Thursday,Morning,5,Program Assistance
Volunteer request: 5 members for Video Appearance on wednesday morning.,Wednesday,Morning,5,Video Appearance
6 members needed this Saturday morning for Program Assistance.,Saturday,Morning,6,Program Assistance
Need 3 volunteers to help with Ushering on Friday afternoon.,Friday,Afternoon,3,Ushering
We're looking for 7 volunteers to assist with Ushering this Monday morning.,Monday,Morning,7,Ushering
We need 2 people to handle Event Setup on Monday afternoon.,Monday,Afternoon,2,Event Setup
We need 10 people to handle Career Guidance on Wednesday morning.,Wednesday,Morning,10,Career Guidance
Requesting 8 volunteers for Program Assistance at the outreach event Saturday afternoon.,Saturday,Afternoon,8,Program Assistance
Can we get 2 volunteers for Ushering on Tuesday morning?,Tuesday,Morning,2,Ushering
Saturday afternoon Program Assistance - 5 volunteers needed.,Saturday,Afternoon,5,Program Assistance
Next Friday afternoon: looking for 1 volunteers for Career Guidance.,Friday,Afternoon,1,Career Guidance
Requesting 3 volunteers Tuesday morning for Ushering.,Tuesday,Morning,3,Ushering
Please schedule 3 members for Career Guidance on Thursday afternoon.,Thursday,Afternoon,3,Career Guidance
Required: 5 volunteers for Photoshoot Appearance on Tuesday afternoon.,Tuesday,Afternoon,5,Photoshoot Appearance
Looking for 9 members this Saturday morning for Career Guidance.,Saturday,Morning,9,Career Guidance
Anyone free Tuesday morning? Need 10 people for Career Guidance.,Tuesday,Morning,10,Career Guidance
1 volunteers needed for Career Guidance advising Thursday morning.,Thursday,Morning,1,Career Guidance
Looking for 9 members to help with advising (Career Guidance) this Friday afternoon.,Friday,Afternoon,9,Career Guidance
Who can do Program Assistance on Thursday morning? Need 8 people.,Thursday,Morning,8,Program Assistance
Assign 9 students Tuesday afternoon for Campus Tour.,Tuesday,Afternoon,9,Campus Tour
Schedule 8 members for Event Setup this Wednesday afternoon.,Wednesday,Afternoon,8,Event Setup
Required: 1 volunteers for Photoshoot Appearance on Saturday morning.,Saturday,Morning,1,Photoshoot Appearance
We need 3 representatives for Event Setup on Thursday afternoon.,Thursday,Afternoon,3,Event Setup
"For Program Assistance, we need 4 volunteers on saturday morning.",Saturday,Morning,4,Program Assistance
Seeking 2 volunteers for Video Appearance Wednesday afternoon.,Wednesday,Afternoon,2,Video Appearance
Assign 1 students Wednesday morning for Event Setup.,Wednesday,Morning,1,Event Setup
Looking for 7 members to help with setup (Event Setup) this Friday afternoon.,Friday,Afternoon,7,Event Setup
"For Video Appearance, we need 3 volunteers on Friday morning.",Friday,Morning,3,Video Appearance
10x volunteers for Video Appearance on Thursday afternoon.,Thursday,Afternoon,10,Video Appearance
Looking for 6 members to assist in Video Appearance this Friday morning.,Friday,Morning,6,Video Appearance
Who can do Photoshoot Appearance on Wednesday afternoon? Need 5 people.,Wednesday,Afternoon,5,Photoshoot Appearance
We're looking for 1 volunteers to assist with Career Guidance this Monday afternoon.,Monday,Afternoon,1,Career Guidance
4 members needed this Wednesday afternoon for Video Appearance.,Wednesday,Afternoon,4,Video Appearance
We're looking for 3 volunteers to assist with Photoshoot Appearance this Monday morning.,Monday,Morning,3,Photoshoot Appearance
This Friday morning we need 6 volunteers for Career Guidance.,Friday,Morning,6,Career Guidance
Need 9 ppl Wednesday morning for Career Guidance.,Wednesday,Morning,9,Career Guidance
2 volunteers needed for Campus Tour Thursday afternoon.,Thursday,Afternoon,2,Campus Tour
Friday morning - need 2 volunteers for Event Setup.,Friday,Morning,2,Event Setup
We need 2 students for Photoshoot Appearance during the SHS program Tuesday morning.,Tuesday,Morning,2,Photoshoot Appearance
1 volunteers needed for Ushering attendees Monday morning.,Monday,Morning,1,Ushering
Seeking 6 volunteers for Program Assistance tuesday afternoon.,Tuesday,Afternoon,6,Program Assistance
Required: 9 volunteers for Program Assistance on Thursday morning.,Thursday,Morning,9,Program Assistance
Looking for 3 members to assist in Event Setup this Tuesday morning.,Tuesday,Morning,3,Event Setup
Assign 5 students Thursday afternoon for Video Appearance.,Thursday,Afternoon,5,Video Appearance
Looking for 9 members this Saturday morning for Event Setup.,Saturday,Morning,9,Event Setup
Can you assign 1 volunteers for Photoshoot Appearance Tuesday morning?,Tuesday,Morning,1,Photoshoot Appearance
Assignment needed: 2 volunteers for Event Setup this Friday afternoon.,Friday,Afternoon,2,Event Setup
ASAP: 10 volunteers needed for Ushering on Friday afternoon.,Friday,Afternoon,10,Ushering
Assign 7 students Saturday morning for Ushering.,Saturday,Morning,7,Ushering
4 ppl needed for Career Guidance Tuesday afternoon.,Tuesday,Afternoon,4,Career Guidance
We require 8 volunteers for Program Assistance this Saturday morning.,Saturday,Morning,8,Program Assistance
Need 7 volunteers on tuesday afternoon for Campus Tour.,Tuesday,Afternoon,7,Campus Tour
"For Career Guidance, we need 5 volunteers on Friday afternoon.",Friday,Afternoon,5,Career Guidance
8x volunteers for Campus Tour on Wednesday afternoon.,Wednesday,Afternoon,8,Campus Tour
Next Thursday morning: looking for 7 volunteers for Video Appearance.,Thursday,Morning,7,Video Appearance
We need 4 representatives for Career Guidance on Thursday morning.,Thursday,Morning,4,Career Guidance
Looking for 3 members to help with organizing (Event Setup) this Monday afternoon.,Monday,Afternoon,3,Event Setup
Who's available Tuesday morning for Video Appearance? Need 1 volunteers.,Tuesday,Morning,1,Video Appearance
For Thursday afternoon: need 3 volunteers for Ushering.,Thursday,Afternoon,3,Ushering
Seeking 9 volunteers for Video Appearance Thursday morning.,Thursday,Morning,9,Video Appearance
We require 7 volunteers for Ushering this Tuesday afternoon.,Tuesday,Afternoon,7,Ushering
Requesting 10 volunteers Thursday afternoon for Video Appearance.,Thursday,Afternoon,10,Video Appearance
Program Assistance: need 8 volunteers Wednesday morning.,Wednesday,Morning,8,Program Assistance
Need 1 volunteers to help with Program Assistance on Saturday morning.,Saturday,Morning,1,Program Assistance
Can we get 9 volunteers for Video Appearance on Friday morning?,Friday,Morning,9,Video Appearance
We need 2 representatives for Video Appearance on Tuesday afternoon.,Tuesday,Afternoon,2,Video Appearance
We need 3 students for Career Guidance during the SHS program Tuesday afternoon.,Tuesday,Afternoon,3,Career Guidance
"For the SHS event thursday morning, need 10 volunteers for Ushering.",Thursday,Morning,10,Ushering
Need 7 volunteers to help with Event Setup on Saturday afternoon.,Saturday,Afternoon,7,Event Setup
We're looking for 6 volunteers to assist with Event Setup this Thursday morning.,Thursday,Morning,6,Event Setup
10 volunteers needed for Video Appearance video Wednesday afternoon.,Wednesday,Afternoon,10,Video Appearance
Need 1 volunteers for tour - Campus Tour on Thursday morning.,Thursday,Morning,1,Campus Tour
Need 10 volunteers on thursday afternoon for Video Appearance.,Thursday,Afternoon,10,Video Appearance
Need 2 volunteers for tour - Campus Tour on Monday morning.,Monday,Morning,2,Campus Tour
Looking for 9 members to help with Video Appearance during SHS visit Friday afternoon.,Friday,Afternoon,9,Video Appearance
3 volunteers needed for Photoshoot Appearance Wednesday afternoon.,Wednesday,Afternoon,3,Photoshoot Appearance
Friday afternoon Program Assistance - 9 volunteers needed.,Friday,Afternoon,9,Program Assistance
Looking for 1 members to help with tour (Campus Tour) this Thursday morning.,Thursday,Morning,1,Campus Tour
8 volunteers needed for Campus Tour campus walkthrough thursday afternoon.,Thursday,Afternoon,8,Campus Tour
For Wednesday morning: need 3 volunteers for Event Setup.,Wednesday,Morning,3,Event Setup
Searching for 7 members to help with Career Guidance on Monday afternoon.,Monday,Afternoon,7,Career Guidance
For Thursday morning: need 4 volunteers for Ushering.,Thursday,Morning,4,Ushering
Need 6 ppl Saturday afternoon for Campus Tour.,Saturday,Afternoon,6,Campus Tour
Looking for 1 volunteers this Wednesday afternoon for Ushering.,Wednesday,Afternoon,1,Ushering
Next Monday afternoon: looking for 1 volunteers for Photoshoot Appearance.,Monday,Afternoon,1,Photoshoot Appearance
Looking for 4 volunteers this Saturday morning for Career Guidance.,Saturday,Morning,4,Career Guidance
Assign 7 volunteers Wednesday afternoon for Program Assistance.,Wednesday,Afternoon,7,Program Assistance
Wednesday afternoon Campus Tour - 8 volunteers needed.,Wednesday,Afternoon,8,Campus Tour
Schedule 7 members for Video Appearance this Friday morning.,Friday,Morning,7,Video Appearance
9 volunteers needed for Program Assistance activity Thursday morning.,Thursday,Morning,9,Program Assistance
Need 8 volunteers to help with Program Assistance on Wednesday morning.,Wednesday,Morning,8,Program Assistance
I need 8 volunteers to handle Photoshoot Appearance on Thursday morning.,Thursday,Morning,8,Photoshoot Appearance
Need 2 volunteers for counseling - Career Guidance on Thursday afternoon.,Thursday,Afternoon,2,Career Guidance
Requesting 10 volunteers for Event Setup at the outreach event Tuesday morning.,Tuesday,Morning,10,Event Setup
Requesting 1 volunteers monday morning for Campus Tour.,Monday,Morning,1,Campus Tour
Volunteer request: 4 members for Campus Tour on Thursday morning.,Thursday,Morning,4,Campus Tour
Need 4 volunteers for showing campus - Campus Tour on Tuesday morning.,Tuesday,Morning,4,Campus Tour
Need 3 volunteers on Thursday afternoon for Program Assistance.,Thursday,Afternoon,3,Program Assistance
Next Tuesday morning: looking for 9 volunteers for Ushering.,Tuesday,Morning,9,Ushering
4 volunteers needed for Career Guidance advising Wednesday morning.,Wednesday,Morning,4,Career Guidance
Searching for 9 members to help with Program Assistance on Tuesday morning.,Tuesday,Morning,9,Program Assistance
Assign 5 students Thursday afternoon for Photoshoot Appearance.,Thursday,Afternoon,5,Photoshoot Appearance
ASAP: 10 volunteers needed for Career Guidance on Tuesday morning.,Tuesday,Morning,10,Career Guidance
3 members needed this Thursday afternoon for Ushering.,Thursday,Afternoon,3,Ushering
Schedule 7 volunteers for Ushering on Monday afternoon.,Monday,Afternoon,7,Ushering
Required: 4 volunteers for Event Setup on Friday morning.,Friday,Morning,4,Event Setup
Looking for 3 members to help with Event Setup during SHS visit Wednesday morning.,Wednesday,Morning,3,Event Setup
Looking for 3 volunteers this Friday afternoon for Video Appearance.,Friday,Afternoon,3,Video Appearance
Schedule 10 members for Program Assistance this Monday morning.,Monday,Morning,10,Program Assistance
Please schedule 10 members for Video Appearance on Saturday afternoon.,Saturday,Afternoon,10,Video Appearance
Need 4 volunteers for filming - Video Appearance on Monday morning.,Monday,Morning,4,Video Appearance
Requesting 2 volunteers for Ushering at the outreach event Monday afternoon.,Monday,Afternoon,2,Ushering
This Saturday morning we need 8 volunteers for Ushering.,Saturday,Morning,8,Ushering
9 volunteers needed for Ushering guests thursday afternoon.,Thursday,Afternoon,9,Ushering
Urgent: need 10 volunteers for Career Guidance saturday morning.,Saturday,Morning,10,Career Guidance
Tuesday afternoon - need 9 volunteers for Campus Tour.,Tuesday,Afternoon,9,Campus Tour
For Thursday morning: need 7 volunteers for Video Appearance.,Thursday,Morning,7,Video Appearance
Need 9 volunteers on Tuesday afternoon for Ushering.,Tuesday,Afternoon,9,Ushering
Looking for 8 members to help with pictures (Photoshoot Appearance) this Tuesday morning.,Tuesday,Morning,8,Photoshoot Appearance
Required: 4 volunteers for Ushering on Saturday morning.,Saturday,Morning,4,Ushering
Need 3 volunteers for promotional materials - Photoshoot Appearance on Friday morning.,Friday,Morning,3,Photoshoot Appearance
7 members needed this monday morning for Program Assistance.,Monday,Morning,7,Program Assistance
7x volunteers for Photoshoot Appearance on Wednesday morning.,Wednesday,Morning,7,Photoshoot Appearance
Looking for 7 members to help with organizing (Event Setup) this Wednesday afternoon.,Wednesday,Afternoon,7,Event Setup
Seeking 3 volunteers for Ushering thursday morning.,Thursday,Morning,3,Ushering
Looking for 8 members to help with program (Program Assistance) this Tuesday morning.,Tuesday,Morning,8,Program Assistance
Looking for 9 members to help with activity (Program Assistance) this Saturday morning.,Saturday,Morning,9,Program Assistance
Event Setup: need 6 volunteers Tuesday afternoon.,Tuesday,Afternoon,6,Event Setup
We need 1 representatives for Photoshoot Appearance on Saturday morning.,Saturday,Morning,1,Photoshoot Appearance
Looking for 1 members this Wednesday afternoon for Photoshoot Appearance.,Wednesday,Afternoon,1,Photoshoot Appearance
Need 6 ppl Saturday morning for Photoshoot Appearance.,Saturday,Morning,6,Photoshoot Appearance
Video Appearance on saturday afternoon - need 5 volunteers.,Saturday,Afternoon,5,Video Appearance
Need 5 volunteers for promo video - Video Appearance on thursday afternoon.,Thursday,Afternoon,5,Video Appearance
Can 3 volunteers help with Video Appearance on Wednesday afternoon?,Wednesday,Afternoon,3,Video Appearance
Schedule 1 members for Campus Tour this Saturday morning.,Saturday,Morning,1,Campus Tour
4 volunteers needed for Event Setup organizing Friday afternoon.,Friday,Afternoon,4,Event Setup
10 volunteers needed for Program Assistance Saturday morning.,Saturday,Morning,10,Program Assistance
4 volunteers needed for Campus Tour showing campus Friday afternoon.,Friday,Afternoon,4,Campus Tour
6 volunteers needed for Video Appearance Saturday morning.,Saturday,Morning,6,Video Appearance
Looking for 6 members to assist in Photoshoot Appearance this Monday afternoon.,Monday,Afternoon,6,Photoshoot Appearance
1 ppl needed for Career Guidance Thursday afternoon.,Thursday,Afternoon,1,Career Guidance
Need 2 volunteers for video - Video Appearance on Saturday morning.,Saturday,Morning,2,Video Appearance
We require 4 volunteers for Career Guidance this Saturday afternoon.,Saturday,Afternoon,4,Career Guidance
Need 6 volunteers for pictures - Photoshoot Appearance on thursday afternoon.,Thursday,Afternoon,6,Photoshoot Appearance
"For the SHS event tuesday afternoon, need 8 volunteers for Career Guidance.",Tuesday,Afternoon,8,Career Guidance
Upcoming Thursday morning - need 5 volunteers for Event Setup.,Thursday,Morning,5,Event Setup
Looking for 9 members to help with video (Video Appearance) this Tuesday morning.,Tuesday,Morning,9,Video Appearance
9 volunteers needed for Photoshoot Appearance promotional materials Saturday afternoon.,Saturday,Afternoon,9,Photoshoot Appearance
Please schedule 5 members for Photoshoot Appearance on Tuesday afternoon.,Tuesday,Afternoon,5,Photoshoot Appearance
Schedule 2 members for Event Setup this Friday morning.,Friday,Morning,2,Event Setup
Seeking 8 volunteers for Photoshoot Appearance Thursday afternoon.,Thursday,Afternoon,8,Photoshoot Appearance
We're looking for 7 volunteers to assist with Event Setup this Monday afternoon.,Monday,Afternoon,7,Event Setup
I need 6 volunteers to handle Video Appearance on tuesday afternoon.,Tuesday,Afternoon,6,Video Appearance
Need 1 volunteers on saturday afternoon for SHS Career Guidance.,Saturday,Afternoon,1,Career Guidance
8 volunteers needed for Video Appearance promo video Monday morning.,Monday,Morning,8,Video Appearance
I need 4 volunteers to handle Program Assistance on Friday morning.,Friday,Morning,4,Program Assistance
Looking for 4 members this Tuesday afternoon for Video Appearance.,Tuesday,Afternoon,4,Video Appearance
Need 6 volunteers for facility tour - Campus Tour on Tuesday afternoon.,Tuesday,Afternoon,6,Campus Tour
We're gonna need 7 people for Photoshoot Appearance this tuesday morning.,Tuesday,Morning,7,Photoshoot Appearance
Wednesday morning Career Guidance - 10 volunteers needed.,Wednesday,Morning,10,Career Guidance
Photoshoot Appearance: need 1 volunteers Friday afternoon.,Friday,Afternoon,1,Photoshoot Appearance
For tuesday afternoon: need 10 volunteers for Video Appearance.,Tuesday,Afternoon,10,Video Appearance
Assign 4 students Saturday afternoon for Program Assistance.,Saturday,Afternoon,4,Program Assistance
2 volunteers needed for Career Guidance advising saturday afternoon.,Saturday,Afternoon,2,Career Guidance
Looking for 6 members to assist in Photoshoot Appearance this Monday afternoon.,Monday,Afternoon,6,Photoshoot Appearance
ASAP: 1 volunteers needed for Photoshoot Appearance on Saturday morning.,Saturday,Morning,1,Photoshoot Appearance
I need 2 volunteers to handle Program Assistance on Wednesday afternoon.,Wednesday,Afternoon,2,Program Assistance
Upcoming Tuesday morning - need 1 volunteers for Campus Tour.,Tuesday,Morning,1,Campus Tour
Urgent: need 4 volunteers for Photoshoot Appearance Thursday morning.,Thursday,Morning,4,Photoshoot Appearance
8x volunteers for Photoshoot Appearance on Friday afternoon.,Friday,Afternoon,8,Photoshoot Appearance
Who can do Program Assistance on Monday morning? Need 9 people.,Monday,Morning,9,Program Assistance
Looking for 4 members to help with counseling (Career Guidance) this saturday morning.,Saturday,Morning,4,Career Guidance
Need 5 volunteers on Wednesday afternoon for Video Appearance.,Wednesday,Afternoon,5,Video Appearance
Required: 9 volunteers for Event Setup on Thursday afternoon.,Thursday,Afternoon,9,Event Setup
Campus Tour on Thursday morning - need 10 volunteers.,Thursday,Morning,10,Campus Tour
We need 7 students for Career Guidance during the SHS program Wednesday morning.,Wednesday,Morning,7,Career Guidance
Required: 8 volunteers for Video Appearance on Friday morning.,Friday,Morning,8,Video Appearance
For Saturday morning: need 4 volunteers for Program Assistance.,Saturday,Morning,4,Program Assistance
6 members needed this Wednesday morning for Campus Tour.,Wednesday,Morning,6,Campus Tour
Who can do Campus Tour on Monday afternoon? Need 10 people.,Monday,Afternoon,10,Campus Tour
Need 6 members Saturday afternoon for Video Appearance.,Saturday,Afternoon,6,Video Appearance
Schedule 9 members for Ushering this Friday morning.,Friday,Morning,9,Ushering
Assignment needed: 10 volunteers for Campus Tour this saturday afternoon.,Saturday,Afternoon,10,Campus Tour
Need 5 ppl Saturday morning for Program Assistance.,Saturday,Morning,5,Program Assistance
We need 1 students for Ushering during the SHS program Tuesday morning.,Tuesday,Morning,1,Ushering
Requesting 7 volunteers for Career Guidance at the outreach event Wednesday afternoon.,Wednesday,Afternoon,7,Career Guidance
Need 8 ppl Saturday afternoon for Career Guidance.,Saturday,Afternoon,8,Career Guidance
Staffing requirement: 6 volunteers for Video Appearance Tuesday morning.,Tuesday,Morning,6,Video Appearance
Assign 3 students Monday morning for Video Appearance.,Monday,Morning,3,Video Appearance
Need 7 volunteers on Friday morning for SHS Event Setup.,Friday,Morning,7,Event Setup
Thursday afternoon - need 5 volunteers for Photoshoot Appearance.,Thursday,Afternoon,5,Photoshoot Appearance
Assign 8 students Tuesday morning for Career Guidance.,Tuesday,Morning,8,Career Guidance
9 volunteers please for Photoshoot Appearance this Friday afternoon.,Friday,Afternoon,9,Photoshoot Appearance
Need 8 members Friday morning for Video Appearance.,Friday,Morning,8,Video Appearance
We're looking for 7 volunteers to assist with Ushering this Tuesday morning.,Tuesday,Morning,7,Ushering
Looking for 3 members to assist in Program Assistance this Thursday morning.,Thursday,Morning,3,Program Assistance
We require 9 volunteers for Program Assistance this saturday afternoon.,Saturday,Afternoon,9,Program Assistance
Assign 9 students Saturday morning for Event Setup.,Saturday,Morning,9,Event Setup
1 volunteers needed for Program Assistance event Saturday afternoon.,Saturday,Afternoon,1,Program Assistance
Need 8 volunteers for campus walkthrough - Campus Tour on Tuesday morning.,Tuesday,Morning,8,Campus Tour
We're looking for 3 volunteers to assist with Career Guidance this Wednesday afternoon.,Wednesday,Afternoon,3,Career Guidance
