event_text,day,time_block,slots_needed,role
We need 5 people to handle Event Setup on Wednesday morning.,Wednesday,Morning,5,Event Setup
Requesting 9 volunteers Wednesday afternoon for Campus Tour.,Wednesday,Afternoon,9,Campus Tour
Anyone free Monday morning? Need 3 people for Event Setup.,Monday,Morning,3,Event Setup
"For Event Setup, we need 3 volunteers on Saturday morning.",Saturday,Morning,3,Event Setup
We're looking for 8 volunteers to assist with Event Setup this Saturday afternoon.,Saturday,Afternoon,8,Event Setup
Need 1 volunteers to help with Program Assistance on monday afternoon.,Monday,Afternoon,1,Program Assistance
We need 7 representatives for Video Appearance on Saturday morning.,Saturday,Morning,7,Video Appearance
"For the SHS event Friday afternoon, need 6 volunteers for Ushering.",Friday,Afternoon,6,Ushering
This Friday morning we need 3 volunteers for Ushering.,Friday,Morning,3,Ushering
This Friday morning we need 7 volunteers for Video Appearance.,Friday,Morning,7,Video Appearance
For Saturday morning: need 8 volunteers for Photoshoot Appearance.,Saturday,Morning,8,Photoshoot Appearance
Anyone free tuesday morning? Need 9 people for Program Assistance.,Tuesday,Morning,9,Program Assistance
Staffing requirement: 4 volunteers for Photoshoot Appearance Friday afternoon.,Friday,Afternoon,4,Photoshoot Appearance
Need 7 ppl Wednesday morning for Video Appearance.,Wednesday,Morning,7,Video Appearance
Need 1 members Tuesday morning for Career Guidance.,Tuesday,Morning,1,Career Guidance
Can you assign 10 volunteers for Ushering Friday afternoon?,Friday,Afternoon,10,Ushering
We're gonna need 1 people for Photoshoot Appearance this wednesday morning.,Wednesday,Morning,1,Photoshoot Appearance
Need 9 volunteers on Monday morning for Photoshoot Appearance.,Monday,Morning,9,Photoshoot Appearance
Need 1 volunteers for promotional materials - Photoshoot Appearance on Thursday afternoon.,Thursday,Afternoon,1,Photoshoot Appearance
For Friday afternoon: need 9 volunteers for Ushering.,Friday,Afternoon,9,Ushering
Looking for 8 members to help with photos (Photoshoot Appearance) this Saturday morning.,Saturday,Morning,8,Photoshoot Appearance
We need 2 students for Program Assistance during the SHS program Wednesday afternoon.,Wednesday,Afternoon,2,Program Assistance
Can 2 volunteers help with Career Guidance on Monday morning?,Monday,Morning,2,Career Guidance
Anyone free Thursday afternoon? Need 3 people for Campus Tour.,Thursday,Afternoon,3,Campus Tour
We need 10 representatives for Program Assistance on Wednesday morning.,Wednesday,Morning,10,Program Assistance
Can 6 volunteers help with Career Guidance on Friday afternoon?,Friday,Afternoon,6,Career Guidance
Need 8 volunteers to help with Career Guidance on Friday afternoon.,Friday,Afternoon,8,Career Guidance
Need 5 volunteers for pictures - Photoshoot Appearance on Thursday morning.,Thursday,Morning,5,Photoshoot Appearance
Need 10 volunteers on Thursday afternoon for Program Assistance.,Thursday,Afternoon,10,Program Assistance
Who's available Monday afternoon for Ushering? Need 8 volunteers.,Monday,Afternoon,8,Ushering
"For the SHS event Friday afternoon, need 4 volunteers for Career Guidance.",Friday,Afternoon,4,Career Guidance
Need 2 members Thursday morning for Campus Tour.,Thursday,Morning,2,Campus Tour
Urgent: need 1 volunteers for Ushering Monday morning.,Monday,Morning,1,Ushering
Can you assign 4 volunteers for Program Assistance Friday afternoon?,Friday,Afternoon,4,Program Assistance
"For the SHS event Wednesday morning, need 4 volunteers for Career Guidance.",Wednesday,Morning,4,Career Guidance
We're looking for 1 volunteers to assist with Event Setup this Friday afternoon.,Friday,Afternoon,1,Event Setup
Please schedule 3 members for Career Guidance on Tuesday morning.,Tuesday,Morning,3,Career Guidance
This Thursday morning we need 10 volunteers for Photoshoot Appearance.,Thursday,Morning,10,Photoshoot Appearance
9x volunteers for Career Guidance on Saturday morning.,Saturday,Morning,9,Career Guidance
Need 6 volunteers on Saturday morning for Event Setup.,Saturday,Morning,6,Event Setup
Looking for 7 members to assist in Career Guidance this Thursday morning.,Thursday,Morning,7,Career Guidance
1 volunteers needed for Event Setup organizing Saturday afternoon.,Saturday,Afternoon,1,Event Setup
Who can do Video Appearance on monday morning? Need 9 people.,Monday,Morning,9,Video Appearance
9 volunteers needed for Event Setup organizing Monday afternoon.,Monday,Afternoon,9,Event Setup
Can you assign 8 volunteers for Event Setup Wednesday afternoon?,Wednesday,Afternoon,8,Event Setup
Requesting 8 volunteers to support Career Guidance friday morning.,Friday,Morning,8,Career Guidance
4 ppl needed for Ushering Wednesday afternoon.,Wednesday,Afternoon,4,Ushering
Searching for 7 members to help with Program Assistance on Wednesday afternoon.,Wednesday,Afternoon,7,Program Assistance
Looking for 3 volunteers this Wednesday afternoon for Ushering.,Wednesday,Afternoon,3,Ushering
Need 3 volunteers for recording - Video Appearance on Wednesday afternoon.,Wednesday,Afternoon,3,Video Appearance
Need 10 volunteers for activity - Program Assistance on Saturday afternoon.,Saturday,Afternoon,10,Program Assistance
Schedule 6 members for Program Assistance this Thursday afternoon.,Thursday,Afternoon,6,Program Assistance
We need 7 students for Event Setup during the SHS program Monday morning.,Monday,Morning,7,Event Setup
Need 3 volunteers for promo video - Video Appearance on Saturday morning.,Saturday,Morning,3,Video Appearance
Can you assign 4 volunteers for Career Guidance tuesday morning?,Tuesday,Morning,4,Career Guidance
Looking for 6 members to help with attendees (Ushering) this Wednesday morning.,Wednesday,Morning,6,Ushering
Assignment needed: 9 volunteers for Event Setup this Friday afternoon.,Friday,Afternoon,9,Event Setup
Urgent: need 9 volunteers for Career Guidance Saturday morning.,Saturday,Morning,9,Career Guidance
Assignment needed: 10 volunteers for Ushering this Thursday afternoon.,Thursday,Afternoon,10,Ushering
Looking for 4 members to help with Campus Tour during SHS visit Wednesday morning.,Wednesday,Morning,4,Campus Tour
Who's available Thursday afternoon for Program Assistance? Need 5 volunteers.,Thursday,Afternoon,5,Program Assistance
Need 2 volunteers for promotional materials - Photoshoot Appearance on Thursday afternoon.,Thursday,Afternoon,2,Photoshoot Appearance
Looking for 4 members to help with tour (Campus Tour) this Friday morning.,Friday,Morning,4,Campus Tour
Staffing requirement: 9 volunteers for Video Appearance Tuesday morning.,Tuesday,Morning,9,Video Appearance
This Friday morning we need 10 volunteers for Video Appearance.,Friday,Morning,10,Video Appearance
ASAP: 8 volunteers needed for Event Setup on Tuesday morning.,Tuesday,Morning,8,Event Setup
Event Setup on Thursday afternoon - need 1 volunteers.,Thursday,Afternoon,1,Event Setup
2 volunteers needed for Ushering attendees monday afternoon.,Monday,Afternoon,2,Ushering
9 volunteers needed for Event Setup setup Monday afternoon.,Monday,Afternoon,9,Event Setup
Assign 4 volunteers Saturday afternoon for Ushering.,Saturday,Afternoon,4,Ushering
Looking for 10 members to help with video (Video Appearance) this Saturday morning.,Saturday,Morning,10,Video Appearance
Looking for 5 members to help with Video Appearance during SHS visit monday morning.,Monday,Morning,5,Video Appearance
Requesting 2 volunteers to support Program Assistance Friday morning.,Friday,Morning,2,Program Assistance
Seeking 1 volunteers for Video Appearance Thursday morning.,Thursday,Morning,1,Video Appearance
Assign 5 students Monday morning for Campus Tour.,Monday,Morning,5,Campus Tour
Need 7 volunteers on Saturday afternoon for SHS Program Assistance.,Saturday,Afternoon,7,Program Assistance
For Monday morning: need 10 volunteers for Career Guidance.,Monday,Morning,10,Career Guidance
9 volunteers please for Event Setup this Thursday afternoon.,Thursday,Afternoon,9,Event Setup
Looking for 8 members to help with Video Appearance during SHS visit Tuesday morning.,Tuesday,Morning,8,Video Appearance
Need 1 volunteers to help with Campus Tour on Tuesday morning.,Tuesday,Morning,1,Campus Tour
Need 7 ppl Monday morning for Photoshoot Appearance.,Monday,Morning,7,Photoshoot Appearance
"For Event Setup, we need 3 volunteers on thursday morning.",Thursday,Morning,3,Event Setup
Assign 6 students Monday afternoon for Ushering.,Monday,Afternoon,6,Ushering
We're looking for 3 volunteers to assist with Ushering this Wednesday morning.,Wednesday,Morning,3,Ushering
I need 1 volunteers to handle Event Setup on Saturday afternoon.,Saturday,Afternoon,1,Event Setup
7 volunteers needed for Career Guidance Friday morning.,Friday,Morning,7,Career Guidance
Friday morning Campus Tour - 2 volunteers needed.,Friday,Morning,2,Campus Tour
Looking for 7 members to assist in Video Appearance this Tuesday morning.,Tuesday,Morning,7,Video Appearance
We need 5 students for Photoshoot Appearance during the SHS program Tuesday afternoon.,Tuesday,Afternoon,5,Photoshoot Appearance
We need 9 people to handle Event Setup on Thursday afternoon.,Thursday,Afternoon,9,Event Setup
Can 1 volunteers help with Video Appearance on Tuesday morning?,Tuesday,Morning,1,Video Appearance
Who can do Career Guidance on Thursday morning? Need 2 people.,Thursday,Morning,2,Career Guidance
I need 7 volunteers to handle Career Guidance on Tuesday morning.,Tuesday,Morning,7,Career Guidance
Looking for 8 members to help with counseling (Career Guidance) this Monday morning.,Monday,Morning,8,Career Guidance
Need 9 volunteers for event - Program Assistance on Monday morning.,Monday,Morning,9,Program Assistance
Assign 1 students saturday morning for Career Guidance.,Saturday,Morning,1,Career Guidance
Looking for 2 members to help with shoot (Photoshoot Appearance) this Saturday afternoon.,Saturday,Afternoon,2,Photoshoot Appearance
Assignment needed: 4 volunteers for Program Assistance this Saturday morning.,Saturday,Morning,4,Program Assistance
4 members needed this Friday afternoon for Event Setup.,Friday,Afternoon,4,Event Setup
Need 1 volunteers for session - Career Guidance on Monday afternoon.,Monday,Afternoon,1,Career Guidance
Who can do Event Setup on Friday morning? Need 10 people.,Friday,Morning,10,Event Setup
4 volunteers needed for Campus Tour campus walkthrough Thursday afternoon.,Thursday,Afternoon,4,Campus Tour
"For the SHS event Wednesday afternoon, need 4 volunteers for Program Assistance.",Wednesday,Afternoon,4,Program Assistance
Requesting 5 volunteers Monday afternoon for Career Guidance.,Monday,Afternoon,5,Career Guidance
For Monday afternoon: need 7 volunteers for Event Setup.,Monday,Afternoon,7,Event Setup
1 volunteers please for Ushering this Thursday afternoon.,Thursday,Afternoon,1,Ushering
Requesting 10 members Saturday morning for Event Setup.,Saturday,Morning,10,Event Setup
Looking for 9 members to assist in Career Guidance this Saturday morning.,Saturday,Morning,9,Career Guidance
Requesting 4 volunteers monday morning for Campus Tour.,Monday,Morning,4,Campus Tour
For Tuesday morning: need 8 volunteers for Ushering.,Tuesday,Morning,8,Ushering
7 members needed this Monday morning for Career Guidance.,Monday,Morning,7,Career Guidance
We need 8 students for Ushering during the SHS program Friday afternoon.,Friday,Afternoon,8,Ushering
Searching for 6 members to help with Campus Tour on Thursday afternoon.,Thursday,Afternoon,6,Campus Tour
Thursday afternoon - need 4 volunteers for Event Setup.,Thursday,Afternoon,4,Event Setup
Need 3 volunteers on Thursday morning for SHS Career Guidance.,Thursday,Morning,3,Career Guidance
Need 1 volunteers on Thursday afternoon for Photoshoot Appearance.,Thursday,Afternoon,1,Photoshoot Appearance
Looking for 7 members to help with Photoshoot Appearance during SHS visit Friday morning.,Friday,Morning,7,Photoshoot Appearance
Requesting 5 volunteers Monday afternoon for Photoshoot Appearance.,Monday,Afternoon,5,Photoshoot Appearance
Required: 6 volunteers for Photoshoot Appearance on Thursday morning.,Thursday,Morning,6,Photoshoot Appearance
1 volunteers needed for Career Guidance advising monday afternoon.,Monday,Afternoon,1,Career Guidance
2 volunteers needed for Program Assistance support Tuesday afternoon.,Tuesday,Afternoon,2,Program Assistance
Assign 3 volunteers Saturday morning for Program Assistance.,Saturday,Morning,3,Program Assistance
Assign 9 students Thursday morning for Ushering.,Thursday,Morning,9,Ushering
Need 2 volunteers for guests - Ushering on Saturday morning.,Saturday,Morning,2,Ushering
Staffing requirement: 4 volunteers for Photoshoot Appearance Monday morning.,Monday,Morning,4,Photoshoot Appearance
ASAP: 3 volunteers needed for Program Assistance on saturday morning.,Saturday,Morning,3,Program Assistance
Staffing requirement: 4 volunteers for Career Guidance Friday afternoon.,Friday,Afternoon,4,Career Guidance
Please schedule 10 members for Program Assistance on Tuesday morning.,Tuesday,Morning,10,Program Assistance
We need 7 students for Photoshoot Appearance during the SHS program Tuesday afternoon.,Tuesday,Afternoon,7,Photoshoot Appearance
9 members needed this Wednesday afternoon for Event Setup.,Wednesday,Afternoon,9,Event Setup
Looking for 5 members to help with tour (Campus Tour) this Monday afternoon.,Monday,Afternoon,5,Campus Tour
friday morning Program Assistance - 2 volunteers needed.,Friday,Morning,2,Program Assistance
We're looking for 5 volunteers to assist with Ushering this Friday morning.,Friday,Morning,5,Ushering
Schedule 10 members for Video Appearance this tuesday morning.,Tuesday,Morning,10,Video Appearance
"For Campus Tour, we need 5 volunteers on Tuesday afternoon.",Tuesday,Afternoon,5,Campus Tour
Schedule 6 volunteers for Program Assistance on tuesday morning.,Tuesday,Morning,6,Program Assistance
9 volunteers needed for Campus Tour showing campus Saturday morning.,Saturday,Morning,9,Campus Tour
8 volunteers needed for Career Guidance tuesday afternoon.,Tuesday,Afternoon,8,Career Guidance
Need 7 members Wednesday morning for Event Setup.,Wednesday,Morning,7,Event Setup
For Saturday afternoon: need 9 volunteers for Career Guidance.,Saturday,Afternoon,9,Career Guidance
Get me 2 volunteers for Photoshoot Appearance on Tuesday afternoon.,Tuesday,Afternoon,2,Photoshoot Appearance
We need 2 people to handle Career Guidance on Tuesday afternoon.,Tuesday,Afternoon,2,Career Guidance
Please schedule 4 members for Ushering on Tuesday morning.,Tuesday,Morning,4,Ushering
Can we get 5 volunteers for Ushering on monday morning?,Monday,Morning,5,Ushering
Looking for 7 members to help with showing campus (Campus Tour) this Monday morning.,Monday,Morning,7,Campus Tour
We're looking for 9 volunteers to assist with Video Appearance this Monday afternoon.,Monday,Afternoon,9,Video Appearance
Get me 8 volunteers for Campus Tour on Wednesday afternoon.,Wednesday,Afternoon,8,Campus Tour
Assign 5 volunteers Monday morning for Career Guidance.,Monday,Morning,5,Career Guidance
Please schedule 4 members for Career Guidance on wednesday afternoon.,Wednesday,Afternoon,4,Career Guidance
Schedule 1 members for Event Setup this tuesday afternoon.,Tuesday,Afternoon,1,Event Setup
Urgent: need 5 volunteers for Ushering Monday afternoon.,Monday,Afternoon,5,Ushering
Wednesday morning Career Guidance - 5 volunteers needed.,Wednesday,Morning,5,Career Guidance
Looking for 9 members this Friday afternoon for Photoshoot Appearance.,Friday,Afternoon,9,Photoshoot Appearance
For Friday morning: need 7 volunteers for Ushering.,Friday,Morning,7,Ushering
2 volunteers needed for Campus Tour campus walkthrough tuesday afternoon.,Tuesday,Afternoon,2,Campus Tour
Need 5 volunteers for facility tour - Campus Tour on Tuesday morning.,Tuesday,Morning,5,Campus Tour
Requesting 4 members Thursday morning for Video Appearance.,Thursday,Morning,4,Video Appearance
We need 5 people to handle Program Assistance on Tuesday afternoon.,Tuesday,Afternoon,5,Program Assistance
Requesting 6 volunteers Wednesday afternoon for Career Guidance.,Wednesday,Afternoon,6,Career Guidance
6 volunteers needed for Program Assistance activity thursday afternoon.,Thursday,Afternoon,6,Program Assistance
Anyone free Wednesday morning? Need 4 people for Event Setup.,Wednesday,Morning,4,Event Setup
Who's available Monday morning for Video Appearance? Need 1 volunteers.,Monday,Morning,1,Video Appearance
4 volunteers needed for Campus Tour tour Saturday afternoon.,Saturday,Afternoon,4,Campus Tour
We're looking for 6 volunteers to assist with Program Assistance this Friday afternoon.,Friday,Afternoon,6,Program Assistance
Looking for 8 members to help with organizing (Event Setup) this Monday afternoon.,Monday,Afternoon,8,Event Setup
1 volunteers needed for Ushering visitors Monday morning.,Monday,Morning,1,Ushering
4 volunteers needed for Ushering attendees Tuesday afternoon.,Tuesday,Afternoon,4,Ushering
Requesting 8 volunteers for Campus Tour at the outreach event Tuesday morning.,Tuesday,Morning,8,Campus Tour
Schedule 2 members for Video Appearance this Wednesday afternoon.,Wednesday,Afternoon,2,Video Appearance
5 volunteers needed for Event Setup Friday afternoon.,Friday,Afternoon,5,Event Setup
"For Event Setup, we need 5 volunteers on Wednesday morning.",Wednesday,Morning,5,Event Setup
4 volunteers needed for Program Assistance program Wednesday afternoon.,Wednesday,Afternoon,4,Program Assistance
Schedule 6 members for Video Appearance this Wednesday afternoon.,Wednesday,Afternoon,6,Video Appearance
Need 8 volunteers on Thursday afternoon for SHS Campus Tour.,Thursday,Afternoon,8,Campus Tour
We require 9 volunteers for Program Assistance this Saturday morning.,Saturday,Morning,9,Program Assistance
Volunteer request: 4 members for Program Assistance on Monday morning.,Monday,Morning,4,Program Assistance
Need 3 ppl Tuesday morning for Video Appearance.,Tuesday,Morning,3,Video Appearance
Need 9 volunteers on friday morning for SHS Video Appearance.,Friday,Morning,9,Video Appearance
Requesting 8 volunteers Tuesday afternoon for Program Assistance.,Tuesday,Afternoon,8,Program Assistance
We need 8 students for Ushering during the SHS program Wednesday morning.,Wednesday,Morning,8,Ushering
Requesting 1 volunteers to support Ushering Wednesday morning.,Wednesday,Morning,1,Ushering
Looking for 1 members to help with counseling (Career Guidance) this Thursday morning.,Thursday,Morning,1,Career Guidance
Assign 5 volunteers Monday morning for Event Setup.,Monday,Morning,5,Event Setup
5 volunteers needed for Career Guidance session Saturday morning.,Saturday,Morning,5,Career Guidance
Assign 8 students Thursday morning for Ushering.,Thursday,Morning,8,Ushering
We're looking for 8 volunteers to assist with Photoshoot Appearance this Tuesday afternoon.,Tuesday,Afternoon,8,Photoshoot Appearance
Need 9 volunteers on Saturday morning for Video Appearance.,Saturday,Morning,9,Video Appearance
Need 5 volunteers for setup - Event Setup on Wednesday morning.,Wednesday,Morning,5,Event Setup
Get me 8 volunteers for Campus Tour on Thursday afternoon.,Thursday,Afternoon,8,Campus Tour
Need 1 members thursday afternoon for Photoshoot Appearance.,Thursday,Afternoon,1,Photoshoot Appearance
Who can do Campus Tour on Wednesday afternoon? Need 8 people.,Wednesday,Afternoon,8,Campus Tour
Get me 9 volunteers for Career Guidance on Tuesday afternoon.,Tuesday,Afternoon,9,Career Guidance
Program Assistance: need 8 volunteers Tuesday afternoon.,Tuesday,Afternoon,8,Program Assistance
Need 8 volunteers on Thursday morning for Program Assistance.,Thursday,Morning,8,Program Assistance
Saturday afternoon - need 10 volunteers for Career Guidance.,Saturday,Afternoon,10,Career Guidance
Requesting 3 volunteers for Program Assistance at the outreach event Saturday afternoon.,Saturday,Afternoon,3,Program Assistance
Anyone free Saturday morning? Need 3 people for Photoshoot Appearance.,Saturday,Morning,3,Photoshoot Appearance
Schedule 7 volunteers for Photoshoot Appearance on Wednesday afternoon.,Wednesday,Afternoon,7,Photoshoot Appearance
Need 9 volunteers on Thursday afternoon for SHS Career Guidance.,Thursday,Afternoon,9,Career Guidance
Campus Tour on Saturday afternoon - need 5 volunteers.,Saturday,Afternoon,5,Campus Tour
"For Video Appearance, we need 3 volunteers on Thursday afternoon.",Thursday,Afternoon,3,Video Appearance
We're gonna need 7 people for Video Appearance this Monday morning.,Monday,Morning,7,Video Appearance
Please schedule 8 members for Ushering on Tuesday afternoon.,Tuesday,Afternoon,8,Ushering
Need 9 members Wednesday morning for Program Assistance.,Wednesday,Morning,9,Program Assistance
6 volunteers needed for Ushering crowd Wednesday morning.,Wednesday,Morning,6,Ushering
Can you assign 4 volunteers for Photoshoot Appearance Tuesday morning?,Tuesday,Morning,4,Photoshoot Appearance
Need 1 volunteers on Saturday morning for Event Setup.,Saturday,Morning,1,Event Setup
Need 9 volunteers on Friday morning for Photoshoot Appearance.,Friday,Morning,9,Photoshoot Appearance
10 volunteers please for Video Appearance this Thursday morning.,Thursday,Morning,10,Video Appearance
Can 9 volunteers help with Career Guidance on friday morning?,Friday,Morning,9,Career Guidance
Tuesday afternoon - need 6 volunteers for Video Appearance.,Tuesday,Afternoon,6,Video Appearance
4 volunteers needed for Event Setup organizing Monday afternoon.,Monday,Afternoon,4,Event Setup
Thursday afternoon - need 10 volunteers for Photoshoot Appearance.,Thursday,Afternoon,10,Photoshoot Appearance
"For the SHS event Monday morning, need 3 volunteers for Video Appearance.",Monday,Morning,3,Video Appearance
Can we get 9 volunteers for Photoshoot Appearance on Thursday afternoon?,Thursday,Afternoon,9,Photoshoot Appearance
Need 1 volunteers to help with Ushering on Thursday afternoon.,Thursday,Afternoon,1,Ushering
Searching for 2 members to help with Video Appearance on Monday afternoon.,Monday,Afternoon,2,Video Appearance
Who can do Campus Tour on Thursday morning? Need 5 people.,Thursday,Morning,5,Campus Tour
10 volunteers please for Campus Tour this Friday afternoon.,Friday,Afternoon,10,Campus Tour
Requesting 9 members Saturday afternoon for Program Assistance.,Saturday,Afternoon,9,Program Assistance
Need 3 volunteers to help with Campus Tour on Friday afternoon.,Friday,Afternoon,3,Campus Tour
Seeking 6 volunteers for Photoshoot Appearance saturday afternoon.,Saturday,Afternoon,6,Photoshoot Appearance
Looking for 7 members to assist in Campus Tour this Thursday afternoon.,Thursday,Afternoon,7,Campus Tour
Campus Tour: need 8 volunteers Friday afternoon.,Friday,Afternoon,8,Campus Tour
We need 7 representatives for Ushering on Saturday afternoon.,Saturday,Afternoon,7,Ushering
Urgent: need 3 volunteers for Career Guidance Wednesday afternoon.,Wednesday,Afternoon,3,Career Guidance
